parcel_id,owner_id,zipcode,rental,census_tracts
12250350,56200,53511,N,21.1
12250400,56200,53511,N,21.1
12250585,58034,53511,N,21.1
12250670,2055,53511,N,21.1
12250675,54933,53511,N,21.1
12250680,48818,53511,N,21.1
12250685,6815,53511,N,21.1
12250690,9563,53511,N,21.1
12250695,47632,53511,N,21.1
12250700,47422,53511,N,21.1
12250705,24026,53511,N,21.1
12250710,6551,53511,N,21.1
12250715,27893,53511,N,21.1
12250720,7356,53511,N,21.1
12250725,49368,53511,N,21.1
12250730,54340,53511,N,21.1
12250735,45760,53511,N,21.1
12250740,15030,53511,N,21.1
12250745,3628,53511,N,21.1
12250750,58564,53511,N,21.1
12250755,58107,53511,N,21.1
12250760,50967,53511,N,21.1
12250765,14851,53511,N,21.1
12250770,9189,53511,N,21.1
12250775,48553,53511,Y,21.1
12250780,58496,53511,N,21.1
12250785,51796,53511,Y,21.1
12250790,10327,53511,N,21.1
12250795,49623,53511,N,21.1
12250800,12207,53511,N,21.1
12250805,46344,53511,N,21.1
12250810,28131,53511,N,21.1
12250815,28750,53511,N,21.1
12250820,9901,53511,N,21.1
12250825,26177,53511,N,21.1
12250830,10825,53511,N,21.1
12250835,8073,53511,N,21.1
12250840,4092,53511,N,21.1
12250845,6169,53511,N,21.1
12250850,6549,53511,N,21.1
12250855,50199,53511,Y,21.1
12250860,26459,53511,N,21.1
12250865,14241,53511,N,21.1
12250870,28038,53511,N,21.1
12250875,2274,53511,N,21.1
12250880,50045,53511,Y,21.1
12250885,9321,53511,N,21.1
12250890,9381,53511,N,21.1
12250895,15015,53511,N,21.1
12250900,9815,53511,N,21.1
12250905,53532,53511,N,21.1
12250910,11427,53511,N,21.1
12250915,2354,53511,N,21.1
12250920,52153,53511,Y,21.1
12250925,6283,53511,N,21.1
12250930,46662,53511,N,21.1
12250935,27815,53511,N,21.1
12250940,11467,53511,N,21.1
12250945,8644,53511,N,21.1
12250950,9463,53511,N,21.1
12250955,2895,53511,N,21.1
12250960,7263,53511,N,21.1
12250965,23305,53511,N,21.1
12250970,29469,53511,N,21.1
12250975,2840,53511,N,21.1
12250980,52432,53511,N,21.1
12250985,8971,53511,N,21.1
12250990,26766,53511,N,21.1
12250995,1575,53511,N,21.1
12251000,51796,53511,Y,21.1
12251005,6582,53511,N,21.1
12251010,55612,53511,N,21.1
12251015,3303,53511,N,21.1
12251020,15073,53511,N,21.1
12251025,16543,53511,N,21.1
12251030,58331,53511,N,21.1
12251035,45153,53511,Y,21.1
12251040,41955,53511,Y,21.1
12251045,7707,53511,N,21.1
12251050,58622,53511,N,21.1
12251055,6662,53511,N,21.1
12251060,56765,53511,N,21.1
12251065,13877,53511,N,21.1
12251070,14824,53511,Y,21.1
12251075,12810,53511,Y,21.1
12251080,51833,53511,N,21.1
12251085,56103,53511,N,21.1
12251090,25999,53511,N,21.1
12251095,11914,53511,N,21.1
12251100,10153,53511,N,21.1
12251105,54214,53511,N,21.1
12251110,60753,53511,N,21.1
12251115,14130,53511,N,21.1
12251120,25756,53511,N,21.1
12251125,22764,53511,Y,21.1
12251130,4262,53511,N,21.1
12251135,42482,53511,N,21.1
12251140,42417,53511,N,21.1
12251145,7773,53511,N,21.1
12251150,27230,53511,N,21.1
12251155,59374,53511,N,21.1
12251160,57166,53511,N,21.1
12251165,49885,53511,N,21.1
12251170,55244,53511,N,21.1
12251175,45018,53511,N,21.1
12251180,44645,53511,N,21.1
12251185,60455,53511,N,21.1
12251190,57514,53511,N,21.1
12251195,56505,53511,N,21.1
12251200,9495,53511,N,21.1
12251205,53531,53511,N,21.1
12251210,13056,53511,N,21.1
12251215,6650,53511,N,21.1
12251220,54946,53511,N,21.1
12251225,8444,53511,N,21.1
12251230,5388,53511,N,21.1
12251235,6955,53511,N,21.1
12251240,59019,53511,N,21.1
12260005,42362,53511,N,21.1
12260006,1915,53511,N,21.1
12260010,43103,53511,N,21.1
12260015,43433,53511,N,21.1
12260020,7248,53511,N,21.1
12260025,45492,53511,N,21.1
12260030,55421,53511,N,21.1
12260035,2337,53511,N,21.1
12260040,2311,53511,N,21.1
12260045,1142,53511,N,21.1
12260050,58868,53511,N,21.1
12260055,58034,53511,N,21.1
12260060,49044,53511,N,21.1
12260065,51808,53511,N,21.1
12260070,10022,53511,N,21.1
12260075,9220,53511,N,21.1
12260080,5441,53511,N,21.1
12260085,54601,53511,N,21.1
12260090,22815,53511,N,21.1
12260095,11843,53511,N,21.1
12260100,57946,53511,N,21.1
12260105,49682,53511,N,21.1
12260110,53824,53511,N,21.1
12260115,11246,53511,N,21.1
12260120,2348,53511,N,21.1
12260125,4803,53511,N,21.1
12260130,2348,53511,N,21.1
12260135,2348,53511,N,21.1
12260140,10879,53511,N,21.1
12260145,53824,53511,N,21.1
12260150,53824,53511,N,21.1
12260155,60403,53511,N,21.1
12260160,29774,53511,N,21.1
12260165,59404,53511,N,21.1
12260170,23538,53511,N,21.1
12260175,56055,53511,N,21.1
12260180,53208,53511,N,21.1
12260185,54184,53511,N,21.1
12260210,1834,53511,N,21.1
12260215,26178,53511,N,21.1
12260220,7434,53511,N,21.1
12260230,9837,53511,N,21.1
12260235,2182,53511,N,21.1
12260240,12820,53511,N,21.1
12260245,10332,53511,N,21.1
12260271,49896,53511,N,21.1
12260330,49896,53511,N,21.1
12260360,12947,53511,N,21.1
12260400,43108,53511,N,21.1
12260410,50017,53511,N,21.1
12260420,50017,53511,N,21.1
12260440,50017,53511,N,21.1
12260450,42362,53511,N,21.1
12260520,42362,53511,N,21.1
12260550,27464,53511,Y,21.1
12260560,56035,53511,N,21.1
12260570,27464,53511,Y,21.1
12260580,60328,53511,N,21.1
12260590,23257,53511,N,21.1
12260600,2822,53511,N,21.1
12260610,43353,53511,N,21.1
12260620,43353,53511,N,21.1
12260630,43353,53511,N,21.1
12260640,43353,53511,N,21.1
12280010,47545,53511,N,21.1
12280100,52691,53511,Y,21.1
12350003,52696,53511,Y,21.1
12350005,52696,53511,Y,21.1
12350600,6475,53511,N,21.1
12360400,41483,53511,N,21.1
12360680,22650,53511,N,21.1
12360700,12670,53511,N,21.1
12360710,52162,53511,N,21.1
12360720,50599,53511,N,21.1
12360830,1373,53511,Y,21.1
12360840,15624,53511,N,21.1
12360850,15624,53511,N,21.1
12360860,59479,53511,Y,21.1
12360870,58024,53511,N,21.1
12360880,58595,53511,N,21.1
12360900,49634,53511,N,21.1
12360910,11557,53511,N,21.1
12360920,7783,53511,N,21.1
12360930,59773,53511,Y,21.1
12360940,2181,53511,N,21.1
12360950,9311,53511,N,21.1
12360960,23567,53511,N,21.1
12360970,7882,53511,Y,21.1
12360980,53702,53511,N,21.1
12360990,3291,53511,N,21.1
12361000,5438,53511,N,21.1
12361005,28054,53511,N,21.1
12361010,29948,53511,N,21.1
12361015,5946,53511,N,21.1
12361020,6128,53511,N,21.1
12380005,48867,53511,N,21.1
12380007,16061,53511,N,21.1
12380010,44855,53511,N,21.1
12380015,5960,53511,N,21.1
12380020,6159,53511,N,21.1
12380025,1169,53511,N,21.1
12380030,58503,53511,N,21.1
12380031,5480,53511,N,21.1
12380032,22357,53511,N,21.1
12380035,29699,53511,N,21.1
12380040,15889,53511,N,21.1
