owner_id,owner_zipcode
48818,53511
6815,53511
9563,53511
47632,53511
47422,53511
24026,53511
6551,53511
27893,53511
7356,53511
49368,53511
54340,53511
45760,53511
15030,53511
3628,53511
58564,53511
58107,53511
50967,53511
14851,53511
9189,53511
48553,61073
58496,53511
51796,53548
10327,53511
49623,53511
12207,53511
46344,53511
28131,53511
28750,53511
9901,53511
26177,53511
10825,53511
8073,53511
4092,53511
6169,53511
6549,53511
50199,53512
26459,53511
14241,53511
28038,53511
2274,53511
50045,60096
9321,53511
9381,53511
15015,53511
9815,53511
53532,53511
11427,53511
2354,53511
52153,97411
6283,53511
46662,53511
27815,53511
11467,53511
8644,53511
9463,53511
2895,53511
7263,53511
23305,53511
29469,53511
2840,53511
52432,53511
8971,53511
26766,53511
1575,53511
51796,53548
6582,53511
55612,53511
3303,53511
15073,53511
16543,53511
58331,53511
45153,53511
41955,53511
7707,53511
58622,53511
6662,53511
56765,53511
13877,53511
14824,53511
12810,53511
51833,53511
56103,53511
25999,53511
11914,53511
10153,53511
54214,53511
60753,53511
14130,53511
25756,53511
22764,76063
4262,53511
42482,53511
42417,53511
7773,53511
27230,53511
59374,53511
57166,53511
49885,53511
55244,53511
45018,53511
44645,53511
60455,53511
57514,53511
56505,53511
9495,53511
53531,53511
13056,53511
6650,53511
54946,53511
8444,53511
5388,53511
6955,53511
59019,53511
12947,53511
42362,53511
1915,53511
43103,53511
43433,53511
7248,53511
45492,53511
55421,53511
2337,53511
2311,53511
1142,53511
58868,53511
58034,53511
49044,53511
51808,53511
10022,53511
9220,53511
5441,53511
54601,53511
22815,53511
11843,53511
57946,53511
49682,53511
53824,53511
11246,53511
2348,53511
4803,53511
2348,53511
2348,53511
10879,53511
53824,53511
53824,53511
60403,53511
29774,53511
59404,53511
23538,53511
56055,53511
53208,53511
54184,53511
1834,53511
26178,53511
7434,53511
9837,53511
2182,53511
12820,53511
10332,53511
49896,53545
49896,53545
12947,53511
43108,53511
50017,53511
50017,53511
50017,53511
42362,53511
42362,53511
27464,53512
56035,53511
27464,53512
60328,53511
23257,53511
2822,53511
43353,61080
43353,61080
43353,61080
43353,61080
47545,94523
52691,53511
12947,53511
52696,53045
52696,53045
6475,53511
41483,53511
22650,53511
12670,53511
52162,53511
50599,53511
1373,53511
15624,53511
15624,53511
59479,53545
58024,53511
58595,53511
49634,53511
11557,53511
7783,53511
59773,53545
2181,53511
9311,53511
23567,53511
7882,53511
53702,53511
3291,53511
5438,53511
28054,53511
29948,53511
5946,53511
6128,53511
48867,53511
16061,53511
44855,53511
5960,53511
6159,53511
1169,53511
58503,53511
5480,53511
22357,53511
29699,53511
15889,53511
16372,53511
2652,53511
54125,53511
6893,53511
13450,53511
42362,53511
42362,53511
15204,53511
49722,53511
43452,53511
12348,53511
42362,53511
15204,53511
15204,53511
12765,53511
15947,53511
15947,53511
26493,53511
26493,53511
7901,53511
9945,53511
53087,53511
55650,53511
53241,53511
58761,53511
2220,53511
13197,53511
9529,53511
53375,53511
59157,53703
55816,53511
60105,53511
57940,53511
58994,53511
24493,53511
14019,53511
56392,53511
25682,53511
57686,53548
57579,53511
46896,53511
11451,53511
4986,53511
6367,53511
54748,53511
9057,53511
5720,53511
7225,53511
57831,53511
11033,53511
53649,60091
57069,53511
3304,53511
15272,53511
11429,53511
58626,53511
8947,53511
12217,53511
2262,53511
14455,53511
52715,53511
54962,53511
42042,53511
12911,53511
27318,53511
12581,53511
59991,53511
58039,53511
9252,53511
12122,53511
3745,53511
46584,53511
51657,53511
54350,53511
8948,53511
6221,53511
48331,53511
56201,53511
55897,53511
27983,53511
26294,53511
13907,53511
10777,53511
11197,53511
2689,53511
13428,53511
12779,53511
4430,53511
27769,53511
54378,53511
11408,53511
14203,53511
60163,53511
50045,60096
12090,53511
23959,53511
11716,53511
15297,53511
13962,53511
59067,53511
1771,53545
8884,53511
2343,53511
56919,53511
54317,53511
43498,53511
6450,53511
57372,53511
58281,53511
24571,53511
48331,53511
59169,53511
10382,53511
20468,53511
29775,53511
5040,53511
8929,53511
56355,53511
13221,53511
9238,53511
56091,53511
3029,53511
54772,53511
27082,53511
50674,53511
8699,53511
52853,53511
54771,53511
6993,53511
4061,53511
57526,53511
1208,53511
45153,53511
27913,53511
60168,53511
29390,53511
5257,53511
14639,53511
12113,53511
28373,53511
5519,53511
15161,53511
26604,53511
57031,53511
8431,53511
10366,53511
52108,53190
7793,53511
42219,53511
27845,53511
12832,53511
52302,53511
11966,53511
54965,53511
21990,53511
12018,53511
51746,53511
50119,53547
12795,53511
51337,53511
47082,53511
2720,53511
53067,53511
51516,53511
10321,53511
43638,53511
53647,53511
51977,53511
41456,53511
2110,53511
55637,53511
3894,53511
50966,53511
4190,53511
8991,53511
13026,53511
24811,53511
