violation_id,parcel_id,violation_code
23464,13550815,H400
23465,13430865,H400
23466,12560575,H400
23467,13421695,H400
23468,13581145,H400
23469,12531135,H400
23470,12650280,H400
23471,13570500,H400
23472,12651560,H400
23473,12560810,H400
23474,12560930,H400
23475,13610465,H400
23476,12410035,H400
23477,12520035,H400
23478,12510225,H400
23479,12510035,H400
23480,12570200,H40023481,12520210,H400
23482,12520195,H400
23483,12520270,H400
23484,12520280,H400
23485,12510450,H400
23486,12570750,H400
23487,21970760,H400
23488,13570760,H400
23489,12650895,H400
23490,12570475,H400
23491,12521220,H400
23492,12521230,H400
23493,13610855,H400
23494,12580935,H400
23495,13581080,H400
23496,13670670,H400
23497,12620365,H400
23498,12710525,H400
23499,12710525,H400
23500,13670840,H400
23501,12740590,H400
23502,13581420,H400
23503,12581960,H400
23504,13421330,H400
23505,13510755,H400
23506,23180040,H400
23507,13560260,H400
23508,13560260,H400
23509,12410790,H400
23510,13420460,H400
23511,12730175,H400
23512,13470645,H400
23513,13420755,H400
23514,13571095,H400
23515,13410665,H400
23516,13471410,H400
23517,13431690,H400
23518,12580855,H400
23519,12670105,H400
23520,13420505,H400
23521,12651230,H400
23522,13620140,H400
23523,12680165,H400
23524,13550965,H400
23525,13570810,H400
23526,13421090,H400
23527,12760840,H400
23528,12521815,H400
23529,13550940,H400
23530,13610030,H400
23531,12441025,H400
23532,11340185,H400
23533,21911860,H400
23534,12410535,H400
23535,12650140,H400
23536,12651395,H400
23537,12741255,H400
23538,13551100,H400
23539,13611080,H400
23540,12512160,H400
23541,21940140,H400
23542,12530485,H400
23543,13650730,H400
23544,12530320,H400
23545,12530135,H400
23546,12531880,H400
23547,12441045,H400
23548,12530350,H400
23549,13610530,H400
23550,12720810,H400
23551,13460865,H400
23552,13550055,H400
23553,13560075,H400
23554,21880170,H400
23555,13620105,H400
23556,12510820,H400
23557,12510825,H400
23558,13420375,H400
23559,12581560,H400
23560,12440500,H400
23561,13470445,H400
23562,13410715,H400
23563,12640085,H400
23564,13470725,H400
23565,12560685,H400
23566,12521495,H400
23567,12560830,H400
23568,12510430,H400
23569,12720260,H400
23570,12510215,H400
23571,12520300,H400
23572,12561120,H400
23573,13560325,H400
23574,12710075,H400
23575,12580820,H400
23576,13650735,H400
23577,12581735,H400
23578,12580260,H400
23579,12580090,H400
23580,13421060,H400
23581,13411245,H400
23582,12511940,H400
23583,12511695,H400
23584,12511325,H400
23585,12571325,H400
23587,13461830,H116
23587,13461830,H120
23587,13461830,H185
23587,13461830,H205
23587,13461830,H270
23588,12530490,H030
23588,12530490,H065
23589,12720195,H205
23589,12720195,H245
23589,12720195,H317
23590,12670003,H300
23591,12670003,H309
23592,13430905,H300
23593,12650795,H040
23594,13640080,H300
23595,13640080,H300
23596,13660160,H065
23597,13680071,H400
23598,13561025,H400
23599,12720205,H400
23600,13510720,H400
23601,13570680,H400
23602,12710945,H400
23603,12530290,H400
23604,13550395,H400
23605,12760766,H400
23606,12531160,H400
23607,13571225,H300
23608,12581035,H400
23609,12580195,H400
23610,13580860,H400
23611,12660380,H400
23612,13580495,H400
23613,13411695,H400
23614,13561120,H400
23615,13561125,H400
23616,13421525,H400
23617,12720915,H400
23618,12720895,H400
23619,13410540,H400
23620,12580750,H400
23621,12560570,H400
23622,12720525,H400
23623,13681290,H400
23624,13620520,H400
23625,13630150,H400
23626,21951100,H000
23626,21951100,H065
23627,13660200,H095
23628,12580705,H005
23629,12580700,H005
23630,13551550,H120
23630,13551550,H205
23630,13551550,H270
23630,13551550,H420
23630,13551550,H510
23630,13551550,Z10
23631,13421170,H300
23633,13421170,H035
23634,21921270,H300
23635,13670225,H400
23636,13670320,H400
23637,13670235,H400
23638,12620425,H400
23639,13550185,H400
23640,13421805,H400
23641,12530815,H400
23642,12520225,H400
23643,12560620,H400
23644,12510335,H400
23645,12651820,H400
23646,13571155,H400
23647,13420885,H400
23648,13570950,H400
23649,13581190,H400
23650,13510230,H400
23651,13561345,H400
23652,13561375,H400
23653,12740610,H400
23654,12740615,H400
23655,12740835,H400
23656,12651385,H400
23657,12660435,H400
23658,13461745,H400
23659,12530735,H400
23660,21951050,H400
23661,13460605,H400
23662,12570586,H035
